ID	Roman	Arabic
V0001	Aabdalla	عبد الله
V0002	Aabdel rahman	عبد الرحمن
V0003	Aabdela	عبد الله
V0004	Aabdelaziz	عبد العزيز
V0005	Aabdelgader	عبد القادر
V0006	Aabdelgani	عبد الغني
V0007	Aabdelh	عبد الله
V0008	Aabdelhalim	عبد الحليم
V0009	Aabdelkader	عبد القادر
V0010	Aabdelkadir	عبد القادر
V0011	Aabdelmajid	عبد المجيد
V0012	Aabdelrahman	عبد الرحمن
V0013	Aabdiaziz	عبد العزيز
V0014	Aabdillahi	عبد الله
V0015	Aabdirahman	عبد الرحمن
V0016	Aabdirashid	عبد الرشيد
V0017	Aabdirizak	عبد الرزاق
V0018	Aabdoulaye	عبد الله
V0019	Aabdul habib	عبد الحبيب
V0020	Aabdul hakim	عبد الحكيم
V0021	Aabdul kadir	عبد القادر
V0022	Aabdul karim	عبد الكريم
V0023	Aabdulatef	عبد اللطيف
V0024	Aabdulatif	عبد اللطيف
V0025	Aabdulaye	عبد الله
V0026	Aabdulaziz	عبد العزيز
V0027	Aabdulfath	عبد الفتاح
V0028	Aabdulgader	عبد القادر
V0029	Aabdulghani	عبد الغني
V0030	Aabdulhakim	عبد الحكيم
V0031	Aabdulhamid	عبد الحميد
V0032	Aabduljabbar	عبد الجبار
V0033	Aabduljalil	عبد الجليل
V0034	Aabdulkadar	عبد القادر
V0035	Aabdulkadir	عبد القادر
V0036	Aabdulkadr	عبد القادر
V0037	Aabdulkareem	عبد الكريم
V0038	Aabdulkarim	عبد الكريم
V0039	Aabdulla	عبد الله
V0040	Aabdullah	عبد الله
V0041	Aabdullahi	عبد الله
V0042	Aabdulle	عبد الله
V0043	Aabdulqadir	عبد القادر
V0044	Aabdulrahim	عبد الرحيم
V0045	Aabdulrahman	عبد الرحمن
V0046	Aabdulrashid	عبد الرشيد
V0047	Aabdulrazak	عبد الرزاق
V0048	Aabdulrazq	عبد الرازق
V0049	Aabdulsalam	عبد السلام
V0050	Aabdulsamad	عبد الصمد
V0051	Aabdulshakoor	عبد الشكور
V0052	Aabdulslam	عبد السلام
V0053	Aabdulvokhidov	عبد الواحدوف
V0054	Aabdulwahab	عبد الوهاب
V0055	Aabdusalam	عبد السلام
V0056	Ababdulaziz	عبد العزيز
V0057	Ababdulhadi	عبد الهادي
V0058	Ababdulle	عبد الله
V0059	Ababdulmalik	عبد الملك
V0060	Ababdulrashed	عبد الرشيد
V0061	Abd al ameer	عبد الأمير
V0062	Abd al azeez	عبد العزيز
V0063	Abd al azim	عبد العظيم
V0064	Abd al aziz	عبد العزيز
V0065	Abd al bari	عبد الباريء
V0066	Abd al bary	عبد الباريء
V0067	Abd al elah	عبد الإله
V0068	Abd al fattah	عبد الفتاح
V0069	Abd al gafour	عبد الغفور
V0070	Abd al gani	عبد الغني
V0071	Abd al ghaffar	عبد الغفار
V0072	Abd al ghafour	عبد الغفور
V0073	Abd al hafeez	عبد الحفيظ
V0074	Abd al haqq	عبد الحق
V0075	Abd al ilah	عبد الإله
